Type                                  Module                      Label             Process     
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "fullsim"   
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "fullsim"   
edmNew::DetSetVector<SiPixelCluster>    "displacedMuonReducedTrackExtras"   ""                "fullsim"   
edmNew::DetSetVector<SiPixelCluster>    "muonReducedTrackExtras"    ""                "fullsim"   
edmNew::DetSetVector<SiStripCluster>    "displacedMuonReducedTrackExtras"   ""                "fullsim"   
edmNew::DetSetVector<SiStripCluster>    "muonReducedTrackExtras"    ""                "fullsim"   
float                                 "genParticles"              "t0"              "fullsim"   
int                                   "addPileupInfo"             "bunchSpacing"    "fullsim"   
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "fullsim"   
reco::BeamSpot                        "offlineBeamSpot"           ""                "fullsim"   
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "fullsim"   
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrs"          ""                "fullsim"   
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowTmpPtrs"       ""                "fullsim"   
vector<float>                         "displacedTracks"           "MVAValues"       "fullsim"   
vector<float>                         "generalTracks"             "MVAValues"       "fullsim"   
vector<int>                           "genParticles"              ""                "fullsim"   
vector<reco::CaloCluster>             "hfEMClusters"              ""                "fullsim"   
vector<reco::CaloCluster>             "lowPtGsfElectronSuperClusters"   ""                "fullsim"   
vector<reco::CaloCluster>             "particleFlowEGamma"        "EBEEClusters"    "fullsim"   
vector<reco::CaloCluster>             "particleFlowEGamma"        "ESClusters"      "fullsim"   
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "fullsim"   
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "fullsim"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "fullsim"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "fullsim"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "fullsim"   
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALBarrel"   "fullsim"   
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALEndcap"   "fullsim"   
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALPreshower"   "fullsim"   
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "fullsim"   
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapBasicClusters"   "fullsim"   
vector<reco::Conversion>              "particleFlowEGamma"        ""                "fullsim"   
vector<reco::GenParticle>             "genParticles"              ""                "fullsim"   
vector<reco::GsfElectron>             "gedGsfElectrons"           ""                "fullsim"   
vector<reco::GsfElectron>             "lowPtGsfElectrons"         ""                "fullsim"   
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "fullsim"   
vector<reco::GsfElectronCore>         "gedGsfElectronCores"       ""                "fullsim"   
vector<reco::GsfElectronCore>         "lowPtGsfElectronCores"     ""                "fullsim"   
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "fullsim"   
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "fullsim"   
vector<reco::GsfTrack>                "lowPtGsfEleGsfTracks"      ""                "fullsim"   
vector<reco::GsfTrackExtra>           "electronGsfTracks"         ""                "fullsim"   
vector<reco::GsfTrackExtra>           "lowPtGsfEleGsfTracks"      ""                "fullsim"   
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "fullsim"   
vector<reco::Muon>                    "displacedMuons"            ""                "fullsim"   
vector<reco::Muon>                    "muons"                     ""                "fullsim"   
vector<reco::MuonTrackLinks>          "displacedGlobalMuons"      ""                "fullsim"   
vector<reco::MuonTrackLinks>          "globalMuons"               ""                "fullsim"   
vector<reco::PFCandidate>             "particleFlow"              ""                "fullsim"   
vector<reco::PFCandidate>             "particleFlowEGamma"        ""                "fullsim"   
vector<reco::PFCandidateEGammaExtra>    "particleFlowEGamma"        ""                "fullsim"   
vector<reco::Photon>                  "gedPhotons"                ""                "fullsim"   
vector<reco::Photon>                  "ootPhotons"                ""                "fullsim"   
vector<reco::Photon>                  "photons"                   ""                "fullsim"   
vector<reco::PhotonCore>              "gedPhotonCore"             ""                "fullsim"   
vector<reco::PhotonCore>              "ootPhotonCore"             ""                "fullsim"   
vector<reco::PhotonCore>              "photonCore"                ""                "fullsim"   
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "fullsim"   
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "fullsim"   
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "fullsim"   
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "fullsim"   
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "fullsim"   
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "fullsim"   
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "fullsim"   
vector<reco::SuperCluster>            "hfEMClusters"              ""                "fullsim"   
vector<reco::SuperCluster>            "hybridSuperClusters"       ""                "fullsim"   
vector<reco::SuperCluster>            "lowPtGsfElectronSuperClusters"   ""                "fullsim"   
vector<reco::SuperCluster>            "multi5x5SuperClustersWithPreshower"   ""                "fullsim"   
vector<reco::SuperCluster>            "particleFlowEGamma"        ""                "fullsim"   
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "multi5x5EndcapSuperClusters"   "fullsim"   
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "fullsim"   
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "fullsim"   
vector<reco::SuperCluster>            "particleFlowSuperClusterOOTECAL"   "particleFlowSuperClusterOOTECALBarrel"   "fullsim"   
vector<reco::SuperCluster>            "particleFlowSuperClusterOOTECAL"   "particleFlowSuperClusterOOTECALEndcapWithPreshower"   "fullsim"   
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "fullsim"   
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapSuperClusters"   "fullsim"   
vector<reco::Track>                   "displacedGlobalMuons"      ""                "fullsim"   
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "fullsim"   
vector<reco::Track>                   "displacedTracks"           ""                "fullsim"   
vector<reco::Track>                   "generalTracks"             ""                "fullsim"   
vector<reco::Track>                   "globalMuons"               ""                "fullsim"   
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "fullsim"   
vector<reco::Track>                   "standAloneMuons"           ""                "fullsim"   
vector<reco::Track>                   "displacedStandAloneMuons"   "UpdatedAtVtx"    "fullsim"   
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "fullsim"   
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "fullsim"   
vector<reco::TrackExtra>              "displacedGlobalMuons"      ""                "fullsim"   
vector<reco::TrackExtra>              "displacedMuonReducedTrackExtras"   ""                "fullsim"   
vector<reco::TrackExtra>              "displacedStandAloneMuons"   ""                "fullsim"   
